Sector of Institution,Reporting Location,Offense,Date,Count
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,555
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,14
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,50
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,1
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,3
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,30
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,1790
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,848
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,62
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,567
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,12
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,71
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,3
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,1
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,58
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,9
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,6
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,4
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,3
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,3
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,2
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,3
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,7
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,226
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,140
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,49
"Public, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,53
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,17
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,3
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,2
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2013,6
"Public, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,208
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,128
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,35
"Public, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,35
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,9
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,0
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2014,3
"Public, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,254
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,133
"Private for-profit, 4-year or above",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,30
"Public, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,36
"Private nonprofit, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,15
"Private for-profit, 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,2
"Public, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,0
"Private nonprofit, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,1
"Private for-profit, less-than 2-year",Non-Campus,Criminal Offenses - Motor Vehicle Theft,sum2015,7
"Public, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,459
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,535
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,116
"Public, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,195
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,13
"Private for-profit, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,98
"Public, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,12
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,8
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2013,132
"Public, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,410
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,507
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,60
"Public, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,170
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,17
"Private for-profit, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,97
"Public, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,11
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,7
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2014,103
"Public, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,495
"Private nonprofit, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,473
"Private for-profit, 4-year or above",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,41
"Public, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,178
"Private nonprofit, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,5
"Private for-profit, 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,78
"Public, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,4
"Private nonprofit, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,5
"Private for-profit, less-than 2-year",Public Property,Criminal Offenses - Motor Vehicle Theft,sum2015,103
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,165
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,77
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,1
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,39
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,1
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,1
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2013,1
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,139
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,90
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,2
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,48
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,0
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,1
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2014,1
"Public, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,132
"Private nonprofit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,105
"Private for-profit, 4-year or above",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,0
"Public, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,50
"Private nonprofit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,2
"Private for-profit, 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,0
"Public, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,2
"Private nonprofit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,0
"Private for-profit, less-than 2-year",On Campus (excluding Residence Halls),Criminal Offenses - Arson,sum2015,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,244
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,106
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,1
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,3
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2013,1
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,223
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,106
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,0
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,6
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,0
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2014,0
"Public, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,171
"Private nonprofit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,105
"Private for-profit, 4-year or above",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,1
"Public, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,8
"Private nonprofit, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,1
"Private for-profit, 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,0
"Public, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,0
"Private nonprofit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,0
"Private for-profit, less-than 2-year",On Campus (Residence Halls),Criminal Offenses - Arson,sum2015,0
"Public, 4-year or above",Non-Campus,Criminal Offenses - Arson,sum2013,38
"Private nonprofit, 4-year or above",Non-Campus,Criminal Offenses - Arson,sum2013,9
